transit_trip_id,car_trip_id,car_trip_sequence,car_pos_sequence,car_destination_time,transit_trip_sequence,transit_pos_sequence,transit_destination_time,car_arrival_time_transit_stop,integration_distance,shared_distance,destinations_distance
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:55:01.000001,1,1,2010-06-05 09:15:29.000000,2010-06-05 08:47:31.000000,1006.92,4078.604,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:56:01.000001,1,1,2010-06-05 09:16:29.000000,2010-06-05 08:48:05.000001,1240.552,4078.604,17517.714
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:53:26.000002,1,2,2010-06-05 09:13:29.000000,2010-06-05 08:46:56.000000,811.656,3883.34,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:54:26.000002,1,2,2010-06-05 09:14:29.000000,2010-06-05 08:47:30.000001,1045.288,3883.34,17517.714
6008593_1_1,6008530_1_2,1,3,2010-06-05 08:56:26.000002,1,2,2010-06-05 09:16:29.000000,2010-06-05 08:49:03.000000,1536.241,3883.34,17517.714
6008593_1_1,6008530_1_2,1,4,2010-06-05 08:56:26.000002,1,2,2010-06-05 09:16:29.000000,2010-06-05 08:49:59.999999,1655.399,3883.34,17517.714
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:54:23.000000,1,3,2010-06-05 09:14:29.000000,2010-06-05 08:47:04.000001,844.619,3856.869,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:54:23.000000,1,3,2010-06-05 09:14:29.000000,2010-06-05 08:47:38.000001,1078.251,3856.869,17517.714
6008593_1_1,6008530_1_2,1,3,2010-06-05 08:56:23.000000,1,3,2010-06-05 09:16:29.000000,2010-06-05 08:49:11.000000,1569.204,3856.869,17517.714
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:53:09.000001,1,4,2010-06-05 09:13:29.000000,2010-06-05 08:46:50.000000,688.443,3700.693,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:54:09.000001,1,4,2010-06-05 09:14:29.000000,2010-06-05 08:47:24.000001,922.075,3700.693,17517.714
6008593_1_1,6008530_1_2,1,3,2010-06-05 08:55:09.000001,1,4,2010-06-05 09:15:29.000000,2010-06-05 08:48:57.000000,1413.028,3700.693,17517.714
6008593_1_1,6008530_1_2,1,4,2010-06-05 08:56:09.000001,1,4,2010-06-05 09:16:29.000000,2010-06-05 08:49:54.000000,1532.186,3700.693,17517.714
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:53:09.000001,2,1,2010-06-05 09:13:29.000000,2010-06-05 08:46:50.000000,688.443,3700.693,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:54:09.000001,2,1,2010-06-05 09:14:29.000000,2010-06-05 08:47:24.000001,922.075,3700.693,17517.714
6008593_1_1,6008530_1_2,1,3,2010-06-05 08:55:09.000001,2,1,2010-06-05 09:15:29.000000,2010-06-05 08:48:57.000000,1413.028,3700.693,17517.714
6008593_1_1,6008530_1_2,1,4,2010-06-05 08:56:09.000001,2,1,2010-06-05 09:16:29.000000,2010-06-05 08:49:54.000000,1532.186,3700.693,17517.714
6008593_1_1,6008530_1_2,1,1,2010-06-05 08:54:46.000001,2,2,2010-06-05 09:14:29.000000,2010-06-05 08:48:17.000000,1343.171,3589.81,17517.714
6008593_1_1,6008530_1_2,1,2,2010-06-05 08:53:46.000001,2,2,2010-06-05 09:13:29.000000,2010-06-05 08:47:19.000000,904.435,3589.81,17517.714
6008593_1_1,6008530_1_2,1,3,2010-06-05 08:55:46.000001,2,2,2010-06-05 09:15:29.000000,2010-06-05 08:49:28.000001,1510.208,3589.81,17517.714
6008593_1_1,6008530_1_2,1,4,2010-06-05 08:55:46.000001,2,2,2010-06-05 09:15:29.000000,2010-06-05 08:49:01.000000,1329.693,3589.81,17517.714
6008593_1_1,6008530_1_2,1,5,2010-06-05 08:56:46.000001,2,2,2010-06-05 09:16:29.000000,2010-06-05 08:50:11.999999,1374.309,3589.81,17517.714
6008593_1_1,6008530_1_2,1,6,2010-06-05 08:56:46.000001,2,2,2010-06-05 09:16:29.000000,2010-06-05 08:50:18.000000,1316.097,3589.81,17517.714
