match_index,taxi_private_cost,taxi_shared_cost,transit_shared_cost
0,9.99861031293,6.44744646879,4.91075000041
1,9.99861031293,6.51307955738,4.84511691182
2,9.99861031293,7.99353557728,4.56041637032
3,9.99861031293,8.61787828409,4.69177886
4,9.99861031293,9.71186095983,4.30684263236
5,9.99861031293,9.92602035855,4.40028362663
14,10.5043969864,7.35256872565,6.93851877724
15,10.5043969864,7.71598072429,6.81510679194
16,10.5043969864,8.08634612285,6.71140806004
17,10.5043969864,8.34565836364,5.91876249925
18,10.5043969864,8.60606232491,5.95169185798
19,10.5043969864,8.71711648025,5.33397103597
20,10.5043969864,8.86678630255,5.16430121367
23,10.0786053035,8.94652917312,5.83840066802
24,10.0786053035,9.91392614875,6.04949282414
