transit_id,stop_id,taxi_id,taxi_pos_sequence,taxi_arrival_time_transit_stop,taxi_destination_time,transit_destination_time,integration_distance,shared_distance,destinations_distance
6042756_2_1,8:D17,8_336,1,2010-08-05 10:47:03.000001,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2014.312,445.732,2920.443
6042756_2_1,8:D17,8_336,2,2010-08-05 10:46:25.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,1929.811,445.732,2920.443
6042756_2_1,8:D17,8_336,3,2010-08-05 10:49:46.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,1563.266,445.732,2920.443
6042756_2_1,8:D17,8_336,4,2010-08-05 10:51:27.999999,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,1732.392,445.732,2920.443
6042756_2_1,8:D17,8_336,5,2010-08-05 10:51:54.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,1236.796,445.732,2920.443
6042756_2_1,8:D17,8_336,6,2010-08-05 10:52:44.999999,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,1357.099,445.732,2920.443
6042756_2_1,8:D17,8_336,7,2010-08-05 10:58:59.999999,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2854.866,445.732,2920.443
6042756_2_1,8:D17,8_336,8,2010-08-05 10:59:29.999999,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2621.979,445.732,2920.443
6042756_2_1,8:D17,8_336,9,2010-08-05 10:59:42.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2303.962,445.732,2920.443
6042756_2_1,8:D17,8_336,10,2010-08-05 11:01:38.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2606.364,445.732,2920.443
6042756_2_1,8:D17,8_336,11,2010-08-05 11:02:30.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2766.751,445.732,2920.443
6042756_2_1,8:D17,8_336,12,2010-08-05 11:03:19.000001,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2823.581,445.732,2920.443
6042756_2_1,8:D17,8_336,13,2010-08-05 11:02:59.000000,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2742.059,445.732,2920.443
6042756_2_1,8:D17,8_336,14,2010-08-05 11:02:52.999999,2010-08-05 10:56:57.999999,2010-08-05 10:48:27.999999,2675.947,445.732,2920.443
6014687_2_2,11:R20,8_554,1,2010-08-05 13:51:09.000002,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,3649.456,1253.919,2197.753
6014687_2_2,11:R20,8_554,2,2010-08-05 13:50:33.000000,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,3336.069,1253.919,2197.753
6014687_2_2,11:R20,8_554,3,2010-08-05 13:49:53.000000,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,3030.896,1253.919,2197.753
6014687_2_2,11:R20,8_554,4,2010-08-05 13:51:12.999998,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,2353.711,1253.919,2197.753
6014687_2_2,11:R20,8_554,5,2010-08-05 13:50:29.000000,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,2207.277,1253.919,2197.753
6014687_2_2,11:R20,8_554,6,2010-08-05 13:51:45.000000,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,1738.137,1253.919,2197.753
6014687_2_2,11:R20,8_554,7,2010-08-05 13:51:49.999999,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,1532.566,1253.919,2197.753
6014687_2_2,11:R20,8_554,8,2010-08-05 14:05:59.000000,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,2064.627,1253.919,2197.753
6014687_2_2,11:R20,8_554,9,2010-08-05 14:07:35.999999,2010-08-05 14:04:48.000000,2010-08-05 13:55:13.999999,2297.493,1253.919,2197.753
6066467_2_3,8:635,8_429,1,2010-08-05 17:39:01.000000,2010-08-05 18:03:10.000001,2010-08-05 17:43:06.000000,1686.303,680.593,4575.771
6066467_2_3,8:635,8_429,2,2010-08-05 17:44:36.000001,2010-08-05 18:03:10.000001,2010-08-05 17:43:06.000000,1958.079,680.593,4575.771
6066467_2_3,8:635,8_429,3,2010-08-05 17:46:23.000001,2010-08-05 18:03:10.000001,2010-08-05 17:43:06.000000,2705.072,680.593,4575.771
